sno,route_id,stop_id,stop_name
3,49M/251,4,Satamrai
4,49M/251,5,Gagan Pahad
5,49M/251,6,Budvel Railway Station
6,49M/251,7,AG Campus
7,49M/251,8,Aramghar Cross Road
8,49M/251,9,Shivarampally X Road
9,49M/251,10,Weaker Section Colony / Shivarampally Quarters
10,49M/251,11,Lal Dabha
11,49M/251,12,Dairy Farm
12,49M/251,13,Upperpally X Road
13,49M/251,14,Hyderguda X Road
14,49M/251,15,Attapur
15,49M/251,16,Ring Road
16,49M/251,17,Jyothi Nagar
17,49M/251,18,Laxmi Nagar
18,49M/251,19,Rethibowli
19,49M/251,20,Mehdipatnam
20,49M/251,21,SD Hospital
21,49M/251,22,Masab Tank NMDC
22,49M/251,23,Masab Tank
23,49M/251,24,Pension Office
24,49M/251,25,Care Hospital
25,49M/251,26,Banjara Hills Road No 7 / Taj Krishna
26,49M/251,27,Banjara Hills Road No 1 / Water Tank
27,49M/251,28,NIMS New Gate
28,49M/251,29,Vengalrao Park Road
29,49M/251,30,Panjagutta
30,49M/251,31,Greenlands Bus Stop
31,49M/251,32,Paryatak Bhawan
32,49M/251,33,Begumpet Bus Stop
33,49M/251,34,Opp. Shyamal Building
34,49M/251,35,Begumpet Shoppers Stop
35,49M/251,36,Prakash Nagar Metro Station
36,49M/251,37,Prakash Nagar
37,49M/251,38,Police Lines
38,49M/251,39,Begumpet Police Lines
39,49M/251,40,S.P. Road Anand Theatre
40,49M/251,41,Paradise / Paradise X Road
41,49M/251,42,Swimming Pool North Bus Stop
42,49M/251,43,Saint Annes School
43,49M/251,44,Sangeeth
44,49M/251,45,Secunderabad(Towards Uppal)
45,49M/251,46,TSRTC Rathifile Bus Station
sno,route_id,stop_id,stop_name
0,6LG,1,Waverock
1,6LG,2,Continental Hospital
2,6LG,3,Infotech
3,6LG,4,ICICI Junction
4,6LG,5,Nanakramguda
5,6LG,6,Infosys
6,6LG,7,IIT
7,6LG,8,GPRA Quarters
8,6LG,9,Indira Nagar
9,6LG,10,Gachibowli X Road
10,6LG,11,Telecom Nagar
11,6LG,12,Cyberabad Police Commissioner Office
12,6LG,13,Hitech X Road / Roda Mistry College / NCCB
13,6LG,14,Khajaguda X Road
14,6LG,15,L.I.D.C.A.P. – Mehdipatnam
15,6LG,16,Darga-Mehidipatnam
16,6LG,17,Narayanamma Engineering College
17,6LG,18,Shaikpet Nala
18,6LG,19,Brindavan Colony
19,6LG,20,Tolichowki
20,6LG,21,Salarjung Colony Bus Stop
21,6LG,22,Nanal Nagar / Rethibowli
22,6LG,23,Rethibowli
23,6LG,24,Mehdipatnam
24,6LG,25,SD Hospital
25,6LG,26,Masab Tank NMDC
26,6LG,27,Masab Tank JNTU
27,6LG,28,A.C. Guards
28,6LG,29,Lakdikapul
29,6LG,30,Lakdikapool Drop
30,6LG,31,Telephone Bhavan
31,6LG,32,Secretariat
32,6LG,33,Liberty – GHMC
33,6LG,34,Liberty
34,6LG,35,Himayat Nagar
35,6LG,36,Narayanaguda
36,6LG,37,Chikkadpally
37,6LG,38,Baghlingampally
38,6LG,39,Barkatpura
39,6LG,40,Fever Hospital
40,6LG,41,Shankar Mutt
41,6LG,42,Vidya Nagar
42,6LG,43,Adikmet
43,6LG,44,Ramnagar Gundu
44,6LG,45,Jamia Osmania
45,6LG,46,Ladies Hostel
46,6LG,47,Manikeshvari Nagar
